depth [ft],Calcite ,Chlorite,Dolomite,Hematite,Illite,K-Feldspar,Kaolinite,Porosity,Quartz,Clay,Bulk
5117.75,0.02145,0.03841,0,0,0.11168,0.40369,0,0.10078,0.32399,0.16859,25.75096552
5118.25,0.02444,0.03736,0,0,0.10944,0.39521,0,0.10176,0.3318,0.16489,25.31558621
5118.75,0.03084,0.04597,0,0,0.11475,0.39635,0,0.09283,0.31926,0.18049,25.8277931
5119.25,0.0304,0.06575,0,0,0.13376,0.40946,0,0.07429,0.28635,0.22398,28.12668966
5119.75,0.01981,0.08861,0,0,0.15663,0.42785,0,0.05594,0.25116,0.27525,30.71413793
5120.25,0.00797,0.10048,0,0,0.17361,0.43654,0,0.04499,0.2364,0.30763,32.01068966
5120.75,0.0048,0.09736,0,0,0.17036,0.43443,0,0.03971,0.25335,0.30047,32.50462069
5121.25,0.00821,0.08343,0,0,0.14668,0.41934,0,0.04092,0.30141,0.25828,31.06013793
5121.75,0.00904,0.06499,0,0,0.11782,0.3882,0,0.04924,0.37072,0.20519,29.41475862
5122.25,0.00819,0.04902,0,0,0.09388,0.34113,0,0.06218,0.44559,0.16042,27.79613793
5122.75,0.00659,0.03894,0,0,0.08286,0.30161,0,0.07833,0.49166,0.13676,27.36193103
5123.25,0.00224,0.03573,0,0,0.07468,0.28921,0,0.09233,0.50583,0.12395,27.04682759
5123.75,0,0.0356,0,0,0.07372,0.30009,0,0.09636,0.49423,0.12274,27.28786207
5124.25,0,0.04197,0,0,0.08259,0.32556,0,0.0867,0.46318,0.13983,28.19682759
5124.75,0.0171,0.05235,0,0,0.09404,0.3438,0,0.0726,0.42012,0.16431,28.9277931
5125.25,0.03566,0.06091,0,0,0.10104,0.34604,0,0.06786,0.38849,0.18175,28.48124138
5125.75,0.04369,0.06028,0,0,0.09709,0.33103,0,0.07678,0.39114,0.1766,26.28213793
5126.25,0.03723,0.05014,0,0,0.08526,0.30827,0,0.08437,0.43473,0.15195,25.07558621
5126.75,0.02047,0.03531,0,0,0.07758,0.27847,0,0.0832,0.50497,0.12675,26.62117241
5127.25,0.0084,0.02223,0,0,0.07647,0.23568,0.01058,0.06818,0.57844,0.1222,29.49427586
5127.75,0.00577,0.01892,0,0,0.07115,0.20019,0,0.0609,0.64306,0.10121,30.88103448
5128.25,0.00574,0.02124,0,0,0.06508,0.19064,0,0.06735,0.64995,0.09696,29.69055172
5128.75,0.00617,0.02322,0,0,0.06736,0.20311,0,0.07955,0.62059,0.10175,27.654
5129.25,0.00525,0.02226,0,0,0.07247,0.21252,0,0.0873,0.60019,0.10642,26.60296552
5129.75,0.00134,0.01845,0,0,0.07737,0.21015,0,0.08189,0.6108,0.10768,27.07413793
5130.25,0,0.01726,0,0,0.07621,0.21191,0,0.07849,0.61613,0.10504,27.90848276
5130.75,0,0.02062,0,0,0.07825,0.2228,0,0.07677,0.60156,0.11109,28.99124138
5131.25,0,0.02655,0,0,0.08227,0.22902,0,0.07648,0.58568,0.12224,29.9777931
5131.75,0,0.03031,0,0,0.08253,0.21213,0,0.07876,0.59627,0.12673,30.28151724
5132.25,0.00554,0.02643,0,0,0.07837,0.17667,0,0.07935,0.63364,0.11772,29.9657931
5132.75,0.00541,0.0193,0,0,0.06585,0.14713,0,0.08554,0.67678,0.09566,28.06096552
5133.25,0.00238,0.01154,0,0,0.0527,0.12754,0,0.09099,0.71485,0.0722,26.83227586
